uuid,name,slug,description,city,county,state,url,homes_url,created_at,updated_at
,Edgemoor,,"Edgemoor in Bethesda combines downtown proximity with a neighborhood feel. Notable spots include the Edgemoor Club, Capitol Crescent Trail, and Bethesda Row. Students have access to highly-rated schools.",,,MD,,,,
,Somerset,,"Somerset, MD is an upscale enclave in Chevy Chase with classic homes. It has highly rated schools like Somerset Elementary, nearby luxury shopping at The Collection Chevy Chase, and parks such as Willard Avenue Neighborhood Park.",,,,,,,
,Carderock,,Carderock in Potomac provides luxury living with Potomac River views. It includes the TPC Potomac golf course and the Carderock Recreational Area. The neighborhood has highly rated schools and is safer than the national average.,,,,,,,
,Westmoreland,,"Westmoreland in Bethesda borders Washington, D.C. and Virginia. Centered around Westmoreland Park with courts and trails. Highly rated schools nearby. Colonial homes line tree-shaded streets. Massachusetts Avenue connects to D.C.",,,,,,,
,Chevy Chase Village,,"Chevy Chase Village in Maryland borders Washington, D.C., with stately homes on tree-lined streets. It includes highly rated schools, the Chevy Chase Club, local parks, and upscale shopping.",,,,,,,
,Chevy Chase Terrace,,"Chevy Chase Terrace in Bethesda features diverse housing from historic to modern. The area has tree-lined streets, highly rated schools, and Norwood Park nearby. Residents enjoy proximity to Bethesda's dining and shopping options.",,,,,,,
,Woodhaven,,"Woodhaven in Bethesda features Tudor-style homes and newer properties. The neighborhood has highly rated schools, Burning Tree Park, and a community garden. It's close to Downtown Bethesda and the Capital Beltway.",,,,,,,
,Kenwood Park,,"Kenwood Park in Bethesda, 8 miles from D.C., is known for cherry blossoms and highly-rated schools. It includes Whittier Woods Park, Kenwood Country Club, and Capital Crescent Trail. Bethesda Row offers nearby shopping and dining.",,,,,,,
,Brookmont,,"Brookmont in Bethesda offers vintage and newer homes along the Potomac River. The neighborhood features hiking trails, Chesapeake and Ohio Canal Trail, and Potomac Palisades Conservation Park. Highly rated schools serve the area.",,,,,,,
,Bannockburn,,"Bannockburn in Bethesda has a peaceful suburban atmosphere with highly rated schools and a crime rate safer than the national average. Residents enjoy Glen Echo Park and the C&O Canal towpath, along with vibrant community events.",,,,,,,
,Glen Echo,,"Glen Echo, MD is a historic suburb along the Potomac River. Its 600 homes blend modern and historic styles. Glen Echo Park hosts cultural events. Nearby are highly rated schools and the C&O Canal Towpath for hiking.",,,,,,,
,Travilah,,"Travilah, MD, blends rural charm with large homes on spacious lots. Residents enjoy the C&O Canal Towpath and Glenstone Museum. Highly rated schools and lower-than-average crime rates add appeal. Washington D.C. is 17 miles away.",,,,,,,
